Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011195 | lrm: 1.00 | dt: 21820ms | tok/sec: 24,027 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.898225 | lrm: 1.00 | dt: 547ms | tok/sec: 957,915 | mfu: 23.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.563100 | lrm: 1.00 | dt: 631ms | tok/sec: 831,499 | mfu: 20.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.177384 | lrm: 1.00 | dt: 576ms | tok/sec: 910,841 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.813216 | lrm: 1.00 | dt: 625ms | tok/sec: 838,825 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.508244 | lrm: 1.00 | dt: 597ms | tok/sec: 877,826 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.265855 | lrm: 1.00 | dt: 598ms | tok/sec: 877,150 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064496 | lrm: 1.00 | dt: 615ms | tok/sec: 851,971 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.899755 | lrm: 1.00 | dt: 605ms | tok/sec: 866,548 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.758037 | lrm: 1.00 | dt: 621ms | tok/sec: 844,738 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.638352 | lrm: 1.00 | dt: 607ms | tok/sec: 864,223 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.538152 | lrm: 1.00 | dt: 616ms | tok/sec: 850,951 | mfu: 20.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.450664 | lrm: 1.00 | dt: 620ms | tok/sec: 845,289 | mfu: 20.4% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.373961 | lrm: 1.00 | dt: 610ms | tok/sec: 859,533 | mfu: 20.8% | epoch: 1 | remaining: 298s    
step 00157 (29.9%) | loss: 4.348014 | lrm: 1.00 | dt: 627ms | tok/sec: 836,148 | mfu: 20.2% | epoch: 1 | remaining: 210s    
step 00158 (30.1%) | loss: 4.342652 | lrm: 1.00 | dt: 624ms | tok/sec: 839,610 | mfu: 20.3% | epoch: 1 | remaining: 209s    
step 00159 (30.3%) | loss: 4.334347 | lrm: 1.00 | dt: 624ms | tok/sec: 840,112 | mfu: 20.3% | epoch: 1 | remaining: 209s    
step 00160 (30.5%) | loss: 4.328185 | lrm: 1.00 | dt: 625ms | tok/sec: 838,883 | mfu: 20.3% | epoch: 1 | remaining: 208s    
step 00161 (30.7%) | loss: 4.329295 | lrm: 1.00 | dt: 625ms | tok/sec: 839,334 | mfu: 20.3% | epoch: 1 | remaining: 207s    
step 00162 (30.9%) | loss: 4.326510 | lrm: 1.00 | dt: 623ms | tok/sec: 841,051 | mfu: 20.3% | epoch: 1 | remaining: 207s    
step 00163 (31.1%) | loss: 4.321895 | lrm: 1.00 | dt: 615ms | tok/sec: 852,357 | mfu: 20.6% | epoch: 1 | remaining: 206s    
step 00164 (31.3%) | loss: 4.317090 | lrm: 1.00 | dt: 625ms | tok/sec: 839,352 | mfu: 20.3% | epoch: 1 | remaining: 205s    
step 00165 (31.5%) | loss: 4.314550 | lrm: 1.00 | dt: 628ms | tok/sec: 834,552 | mfu: 20.2% | epoch: 1 | remaining: 205s    
step 00166 (31.7%) | loss: 4.315042 | lrm: 1.00 | dt: 623ms | tok/sec: 842,103 | mfu: 20.3% | epoch: 1 | remaining: 204s    
step 00167 (31.9%) | loss: 4.311336 | lrm: 1.00 | dt: 626ms | tok/sec: 837,140 | mfu: 20.2% | epoch: 1 | remaining: 204s    
step 00168 (32.2%) | loss: 4.309470 | lrm: 1.00 | dt: 621ms | tok/sec: 844,509 | mfu: 20.4% | epoch: 1 | remaining: 203s    
step 00169 (32.4%) | loss: 4.309025 | lrm: 1.00 | dt: 633ms | tok/sec: 828,542 | mfu: 20.0% | epoch: 1 | remaining: 202s    
step 00170 (32.6%) | loss: 4.308188 | lrm: 1.00 | dt: 625ms | tok/sec: 838,969 | mfu: 20.3% | epoch: 1 | remaining: 202s    
step 00171 (32.8%) | loss: 4.310176 | lrm: 1.00 | dt: 614ms | tok/sec: 853,732 | mfu: 20.6% | epoch: 1 | remaining: 201s    
step 00172 (33.0%) | loss: 4.309500 | lrm: 1.00 | dt: 628ms | tok/sec: 834,226 | mfu: 20.2% | epoch: 1 | remaining: 200s    
step 00173 (33.2%) | loss: 4.307167 | lrm: 1.00 | dt: 621ms | tok/sec: 844,490 | mfu: 20.4% | epoch: 1 | remaining: 200s    
step 00174 (33.4%) | loss: 4.301019 | lrm: 1.00 | dt: 633ms | tok/sec: 828,382 | mfu: 20.0% | epoch: 1 | remaining: 199s    
step 00175 (33.6%) | loss: 4.303224 | lrm: 1.00 | dt: 625ms | tok/sec: 838,550 | mfu: 20.3% | epoch: 1 | remaining: 199s    
step 00176 (33.8%) | loss: 4.299206 | lrm: 1.00 | dt: 628ms | tok/sec: 835,141 | mfu: 20.2% | epoch: 1 | remaining: 198s    
step 00177 (34.0%) | loss: 4.298090 | lrm: 1.00 | dt: 630ms | tok/sec: 832,133 | mfu: 20.1% | epoch: 1 | remaining: 197s    
step 00178 (34.2%) | loss: 4.295535 | lrm: 1.00 | dt: 624ms | tok/sec: 840,752 | mfu: 20.3% | epoch: 1 | remaining: 197s    
step 00179 (34.5%) | loss: 4.294380 | lrm: 1.00 | dt: 627ms | tok/sec: 836,469 | mfu: 20.2% | epoch: 1 | remaining: 196s    
step 00180 (34.7%) | loss: 4.293555 | lrm: 1.00 | dt: 633ms | tok/sec: 828,791 | mfu: 20.0% | epoch: 1 | remaining: 195s    
step 00181 (34.9%) | loss: 4.286805 | lrm: 1.00 | dt: 621ms | tok/sec: 844,886 | mfu: 20.4% | epoch: 1 | remaining: 195s    
step 00182 (35.1%) | loss: 4.280666 | lrm: 1.00 | dt: 620ms | tok/sec: 846,293 | mfu: 20.4% | epoch: 1 | remaining: 194s    
step 00183 (35.3%) | loss: 4.275967 | lrm: 1.00 | dt: 616ms | tok/sec: 851,252 | mfu: 20.6% | epoch: 1 | remaining: 194s    
step 00184 (35.5%) | loss: 4.273900 | lrm: 1.00 | dt: 618ms | tok/sec: 848,570 | mfu: 20.5% | epoch: 1 | remaining: 193s    
step 00185 (35.7%) | loss: 4.270645 | lrm: 1.00 | dt: 626ms | tok/sec: 837,666 | mfu: 20.2% | epoch: 1 | remaining: 192s    
step 00186 (35.9%) | loss: 4.271266 | lrm: 1.00 | dt: 615ms | tok/sec: 852,176 | mfu: 20.6% | epoch: 1 | remaining: 192s    
step 00187 (36.1%) | loss: 4.268984 | lrm: 1.00 | dt: 618ms | tok/sec: 848,507 | mfu: 20.5% | epoch: 1 | remaining: 191s    
step 00188 (36.3%) | loss: 4.268365 | lrm: 1.00 | dt: 621ms | tok/sec: 844,383 | mfu: 20.4% | epoch: 1 | remaining: 190s    
step 00189 (36.5%) | loss: 4.267279 | lrm: 1.00 | dt: 618ms | tok/sec: 848,285 | mfu: 20.5% | epoch: 1 | remaining: 190s    
step 00190 (36.7%) | loss: 4.263673 | lrm: 1.00 | dt: 618ms | tok/sec: 848,167 | mfu: 20.5% | epoch: 1 | remaining: 189s    
step 00191 (36.9%) | loss: 4.262281 | lrm: 1.00 | dt: 625ms | tok/sec: 838,890 | mfu: 20.3% | epoch: 1 | remaining: 189s    
step 00192 (37.1%) | loss: 4.264678 | lrm: 1.00 | dt: 615ms | tok/sec: 852,707 | mfu: 20.6% | epoch: 1 | remaining: 188s    
step 00193 (37.3%) | loss: 4.264744 | lrm: 1.00 | dt: 625ms | tok/sec: 838,198 | mfu: 20.3% | epoch: 1 | remaining: 187s    
step 00194 (37.6%) | loss: 4.264762 | lrm: 1.00 | dt: 616ms | tok/sec: 851,356 | mfu: 20.6% | epoch: 1 | remaining: 187s    
step 00195 (37.8%) | loss: 4.257683 | lrm: 1.00 | dt: 622ms | tok/sec: 842,940 | mfu: 20.4% | epoch: 1 | remaining: 186s    
step 00196 (38.0%) | loss: 4.251426 | lrm: 1.00 | dt: 622ms | tok/sec: 842,826 | mfu: 20.4% | epoch: 1 | remaining: 185s    
step 00197 (38.2%) | loss: 4.247928 | lrm: 1.00 | dt: 612ms | tok/sec: 856,276 | mfu: 20.7% | epoch: 1 | remaining: 185s    
step 00198 (38.4%) | loss: 4.239060 | lrm: 1.00 | dt: 623ms | tok/sec: 842,142 | mfu: 20.3% | epoch: 1 | remaining: 184s    
step 00199 (38.6%) | loss: 4.240755 | lrm: 1.00 | dt: 619ms | tok/sec: 846,735 | mfu: 20.5% | epoch: 1 | remaining: 184s    
step 00200 (38.8%) | loss: 4.236016 | lrm: 1.00 | dt: 622ms | tok/sec: 842,365 | mfu: 20.4% | epoch: 1 | remaining: 183s    
step 00201 (39.0%) | loss: 4.238445 | lrm: 1.00 | dt: 628ms | tok/sec: 834,968 | mfu: 20.2% | epoch: 1 | remaining: 182s    
step 00202 (39.2%) | loss: 4.235673 | lrm: 1.00 | dt: 616ms | tok/sec: 850,972 | mfu: 20.6% | epoch: 1 | remaining: 182s    
step 00203 (39.4%) | loss: 4.238806 | lrm: 1.00 | dt: 620ms | tok/sec: 845,997 | mfu: 20.4% | epoch: 1 | remaining: 181s    
step 00204 (39.6%) | loss: 4.231893 | lrm: 1.00 | dt: 622ms | tok/sec: 842,556 | mfu: 20.4% | epoch: 1 | remaining: 181s    
step 00205 (39.8%) | loss: 4.236121 | lrm: 1.00 | dt: 625ms | tok/sec: 838,926 | mfu: 20.3% | epoch: 1 | remaining: 180s    
step 00206 (40.0%) | loss: 4.245278 | lrm: 1.00 | dt: 627ms | tok/sec: 836,265 | mfu: 20.2% | epoch: 1 | remaining: 179s    
step 00207 (40.2%) | loss: 4.243951 | lrm: 1.00 | dt: 618ms | tok/sec: 848,395 | mfu: 20.5% | epoch: 1 | remaining: 179s    
step 00208 (40.5%) | loss: 4.249941 | lrm: 1.00 | dt: 622ms | tok/sec: 842,882 | mfu: 20.4% | epoch: 1 | remaining: 178s    
step 00209 (40.7%) | loss: 4.249592 | lrm: 1.00 | dt: 624ms | tok/sec: 840,264 | mfu: 20.3% | epoch: 1 | remaining: 177s    
step 00210 (40.9%) | loss: 4.245159 | lrm: 1.00 | dt: 621ms | tok/sec: 843,693 | mfu: 20.4% | epoch: 1 | remaining: 177s    
step 00211 (41.1%) | loss: 4.240126 | lrm: 1.00 | dt: 619ms | tok/sec: 846,522 | mfu: 20.5% | epoch: 1 | remaining: 176s    
step 00212 (41.3%) | loss: 4.231433 | lrm: 1.00 | dt: 618ms | tok/sec: 848,590 | mfu: 20.5% | epoch: 1 | remaining: 176s    
step 00213 (41.5%) | loss: 4.228429 | lrm: 1.00 | dt: 622ms | tok/sec: 843,340 | mfu: 20.4% | epoch: 1 | remaining: 175s    
step 00214 (41.7%) | loss: 4.222306 | lrm: 1.00 | dt: 626ms | tok/sec: 837,115 | mfu: 20.2% | epoch: 1 | remaining: 174s    
step 00215 (41.9%) | loss: 4.218044 | lrm: 1.00 | dt: 624ms | tok/sec: 840,359 | mfu: 20.3% | epoch: 1 | remaining: 174s    
step 00216 (42.1%) | loss: 4.218181 | lrm: 1.00 | dt: 620ms | tok/sec: 845,206 | mfu: 20.4% | epoch: 1 | remaining: 173s    
step 00217 (42.3%) | loss: 4.218159 | lrm: 1.00 | dt: 622ms | tok/sec: 842,499 | mfu: 20.4% | epoch: 1 | remaining: 172s    
step 00218 (42.5%) | loss: 4.219892 | lrm: 1.00 | dt: 627ms | tok/sec: 836,430 | mfu: 20.2% | epoch: 1 | remaining: 172s    
step 00219 (42.7%) | loss: 4.212410 | lrm: 1.00 | dt: 616ms | tok/sec: 851,578 | mfu: 20.6% | epoch: 1 | remaining: 171s    
step 00220 (42.9%) | loss: 4.213511 | lrm: 1.00 | dt: 625ms | tok/sec: 838,420 | mfu: 20.3% | epoch: 1 | remaining: 171s    
step 00221 (43.1%) | loss: 4.213574 | lrm: 1.00 | dt: 620ms | tok/sec: 846,092 | mfu: 20.4% | epoch: 1 | remaining: 170s    
step 00222 (43.4%) | loss: 4.209446 | lrm: 1.00 | dt: 626ms | tok/sec: 837,580 | mfu: 20.2% | epoch: 1 | remaining: 169s    
step 00223 (43.6%) | loss: 4.200226 | lrm: 1.00 | dt: 625ms | tok/sec: 839,085 | mfu: 20.3% | epoch: 1 | remaining: 169s    
step 00224 (43.8%) | loss: 4.194503 | lrm: 1.00 | dt: 620ms | tok/sec: 846,191 | mfu: 20.4% | epoch: 1 | remaining: 168s    
step 00225 (44.0%) | loss: 4.194904 | lrm: 1.00 | dt: 622ms | tok/sec: 842,872 | mfu: 20.4% | epoch: 1 | remaining: 167s    
step 00226 (44.2%) | loss: 4.189716 | lrm: 1.00 | dt: 625ms | tok/sec: 839,495 | mfu: 20.3% | epoch: 1 | remaining: 167s    
step 00227 (44.4%) | loss: 4.187993 | lrm: 1.00 | dt: 626ms | tok/sec: 837,213 | mfu: 20.2% | epoch: 1 | remaining: 166s    
step 00228 (44.6%) | loss: 4.179432 | lrm: 1.00 | dt: 620ms | tok/sec: 845,610 | mfu: 20.4% | epoch: 1 | remaining: 166s    
step 00229 (44.8%) | loss: 4.177308 | lrm: 1.00 | dt: 617ms | tok/sec: 849,825 | mfu: 20.5% | epoch: 1 | remaining: 165s    
step 00230 (45.0%) | loss: 4.175014 | lrm: 1.00 | dt: 622ms | tok/sec: 842,791 | mfu: 20.4% | epoch: 1 | remaining: 164s    
step 00231 (45.2%) | loss: 4.173366 | lrm: 1.00 | dt: 624ms | tok/sec: 839,876 | mfu: 20.3% | epoch: 1 | remaining: 164s    
step 00232 (45.4%) | loss: 4.174447 | lrm: 1.00 | dt: 629ms | tok/sec: 833,117 | mfu: 20.1% | epoch: 1 | remaining: 163s    
step 00233 (45.6%) | loss: 4.172732 | lrm: 1.00 | dt: 623ms | tok/sec: 841,929 | mfu: 20.3% | epoch: 1 | remaining: 162s    
step 00234 (45.8%) | loss: 4.172532 | lrm: 1.00 | dt: 620ms | tok/sec: 845,479 | mfu: 20.4% | epoch: 1 | remaining: 162s    
step 00235 (46.1%) | loss: 4.165023 | lrm: 1.00 | dt: 622ms | tok/sec: 842,300 | mfu: 20.4% | epoch: 1 | remaining: 161s    
step 00236 (46.3%) | loss: 4.164932 | lrm: 1.00 | dt: 624ms | tok/sec: 840,631 | mfu: 20.3% | epoch: 1 | remaining: 161s    
step 00237 (46.5%) | loss: 4.166358 | lrm: 1.00 | dt: 622ms | tok/sec: 842,315 | mfu: 20.4% | epoch: 1 | remaining: 160s    
step 00238 (46.7%) | loss: 4.166517 | lrm: 1.00 | dt: 622ms | tok/sec: 843,021 | mfu: 20.4% | epoch: 1 | remaining: 159s    
step 00239 (46.9%) | loss: 4.160908 | lrm: 1.00 | dt: 621ms | tok/sec: 844,103 | mfu: 20.4% | epoch: 1 | remaining: 159s    
step 00240 (47.1%) | loss: 4.153175 | lrm: 1.00 | dt: 630ms | tok/sec: 832,092 | mfu: 20.1% | epoch: 1 | remaining: 158s    
step 00241 (47.3%) | loss: 4.152770 | lrm: 1.00 | dt: 613ms | tok/sec: 854,646 | mfu: 20.6% | epoch: 1 | remaining: 157s    
step 00242 (47.5%) | loss: 4.156570 | lrm: 1.00 | dt: 622ms | tok/sec: 843,273 | mfu: 20.4% | epoch: 1 | remaining: 157s    
step 00243 (47.7%) | loss: 4.155893 | lrm: 1.00 | dt: 623ms | tok/sec: 840,914 | mfu: 20.3% | epoch: 1 | remaining: 156s    
step 00244 (47.9%) | loss: 4.154628 | lrm: 1.00 | dt: 622ms | tok/sec: 842,963 | mfu: 20.4% | epoch: 1 | remaining: 156s    
step 00245 (48.1%) | loss: 4.154305 | lrm: 1.00 | dt: 634ms | tok/sec: 826,889 | mfu: 20.0% | epoch: 1 | remaining: 155s    
step 00246 (48.3%) | loss: 4.150552 | lrm: 1.00 | dt: 625ms | tok/sec: 839,497 | mfu: 20.3% | epoch: 1 | remaining: 154s    
step 00247 (48.5%) | loss: 4.149069 | lrm: 1.00 | dt: 622ms | tok/sec: 842,269 | mfu: 20.4% | epoch: 1 | remaining: 154s    
step 00248 (48.8%) | loss: 4.154757 | lrm: 1.00 | dt: 623ms | tok/sec: 841,277 | mfu: 20.3% | epoch: 1 | remaining: 153s    
step 00249 (49.0%) | loss: 4.153951 | lrm: 1.00 | dt: 626ms | tok/sec: 836,971 | mfu: 20.2% | epoch: 1 | remaining: 152s    
step 00250 (49.2%) | loss: 4.151641 | lrm: 1.00 | dt: 622ms | tok/sec: 842,575 | mfu: 20.4% | epoch: 1 | remaining: 152s    
step 00251 (49.4%) | loss: 4.151788 | lrm: 1.00 | dt: 623ms | tok/sec: 842,101 | mfu: 20.3% | epoch: 1 | remaining: 151s    
step 00252 (49.6%) | loss: 4.144700 | lrm: 1.00 | dt: 624ms | tok/sec: 839,677 | mfu: 20.3% | epoch: 1 | remaining: 151s    
step 00253 (49.8%) | loss: 4.137336 | lrm: 1.00 | dt: 627ms | tok/sec: 835,882 | mfu: 20.2% | epoch: 1 | remaining: 150s    
step 00254 (50.0%) | loss: 4.133719 | lrm: 1.00 | dt: 623ms | tok/sec: 841,753 | mfu: 20.3% | epoch: 1 | remaining: 149s    
step 00255 (50.2%) | loss: 4.137549 | lrm: 1.00 | dt: 627ms | tok/sec: 836,407 | mfu: 20.2% | epoch: 1 | remaining: 149s    
step 00256 (50.4%) | loss: 4.134731 | lrm: 0.99 | dt: 625ms | tok/sec: 838,578 | mfu: 20.3% | epoch: 1 | remaining: 148s    
step 00257 (50.6%) | loss: 4.135223 | lrm: 0.99 | dt: 630ms | tok/sec: 831,684 | mfu: 20.1% | epoch: 1 | remaining: 147s    
step 00258 (50.8%) | loss: 4.135933 | lrm: 0.98 | dt: 620ms | tok/sec: 845,871 | mfu: 20.4% | epoch: 1 | remaining: 147s    
step 00259 (51.0%) | loss: 4.130092 | lrm: 0.98 | dt: 618ms | tok/sec: 848,339 | mfu: 20.5% | epoch: 1 | remaining: 146s    
step 00260 (51.3%) | loss: 4.125624 | lrm: 0.97 | dt: 633ms | tok/sec: 828,071 | mfu: 20.0% | epoch: 1 | remaining: 146s    
step 00261 (51.5%) | loss: 4.120820 | lrm: 0.97 | dt: 625ms | tok/sec: 838,502 | mfu: 20.3% | epoch: 1 | remaining: 145s    
step 00262 (51.7%) | loss: 4.119740 | lrm: 0.97 | dt: 627ms | tok/sec: 836,589 | mfu: 20.2% | epoch: 1 | remaining: 144s    
step 00263 (51.9%) | loss: 4.119875 | lrm: 0.96 | dt: 625ms | tok/sec: 839,479 | mfu: 20.3% | epoch: 1 | remaining: 144s    
step 00264 (52.1%) | loss: 4.114485 | lrm: 0.96 | dt: 624ms | tok/sec: 840,002 | mfu: 20.3% | epoch: 1 | remaining: 143s    
step 00265 (52.3%) | loss: 4.122889 | lrm: 0.95 | dt: 624ms | tok/sec: 839,648 | mfu: 20.3% | epoch: 1 | remaining: 142s    
step 00266 (52.5%) | loss: 4.120023 | lrm: 0.95 | dt: 624ms | tok/sec: 840,457 | mfu: 20.3% | epoch: 1 | remaining: 142s    
step 00267 (52.7%) | loss: 4.118251 | lrm: 0.95 | dt: 625ms | tok/sec: 839,309 | mfu: 20.3% | epoch: 1 | remaining: 141s    
step 00268 (52.9%) | loss: 4.115848 | lrm: 0.94 | dt: 625ms | tok/sec: 838,260 | mfu: 20.3% | epoch: 1 | remaining: 141s    
step 00269 (53.1%) | loss: 4.110743 | lrm: 0.94 | dt: 625ms | tok/sec: 838,923 | mfu: 20.3% | epoch: 1 | remaining: 140s    
step 00270 (53.3%) | loss: 4.103223 | lrm: 0.93 | dt: 624ms | tok/sec: 839,559 | mfu: 20.3% | epoch: 1 | remaining: 139s    
step 00271 (53.5%) | loss: 4.099944 | lrm: 0.93 | dt: 623ms | tok/sec: 841,354 | mfu: 20.3% | epoch: 1 | remaining: 139s    
step 00272 (53.8%) | loss: 4.098754 | lrm: 0.92 | dt: 627ms | tok/sec: 836,547 | mfu: 20.2% | epoch: 1 | remaining: 138s    
step 00273 (54.0%) | loss: 4.101551 | lrm: 0.92 | dt: 625ms | tok/sec: 838,857 | mfu: 20.3% | epoch: 1 | remaining: 137s    
step 00274 (54.2%) | loss: 4.100818 | lrm: 0.92 | dt: 622ms | tok/sec: 842,373 | mfu: 20.4% | epoch: 1 | remaining: 137s    
step 00275 (54.4%) | loss: 4.097051 | lrm: 0.91 | dt: 627ms | tok/sec: 836,816 | mfu: 20.2% | epoch: 1 | remaining: 136s    
step 00276 (54.6%) | loss: 4.091408 | lrm: 0.91 | dt: 625ms | tok/sec: 838,258 | mfu: 20.3% | epoch: 1 | remaining: 136s    
step 00277 (54.8%) | loss: 4.089062 | lrm: 0.90 | dt: 632ms | tok/sec: 829,489 | mfu: 20.0% | epoch: 1 | remaining: 135s    
step 00278 (55.0%) | loss: 4.080649 | lrm: 0.90 | dt: 623ms | tok/sec: 841,239 | mfu: 20.3% | epoch: 1 | remaining: 134s    
step 00279 (55.2%) | loss: 4.078276 | lrm: 0.90 | dt: 622ms | tok/sec: 842,346 | mfu: 20.4% | epoch: 1 | remaining: 134s    
step 00280 (55.4%) | loss: 4.077820 | lrm: 0.89 | dt: 631ms | tok/sec: 830,878 | mfu: 20.1% | epoch: 1 | remaining: 133s    
step 00281 (55.6%) | loss: 4.078358 | lrm: 0.89 | dt: 620ms | tok/sec: 845,472 | mfu: 20.4% | epoch: 1 | remaining: 132s    
step 00282 (55.8%) | loss: 4.076349 | lrm: 0.88 | dt: 621ms | tok/sec: 844,300 | mfu: 20.4% | epoch: 1 | remaining: 132s    
step 00283 (56.0%) | loss: 4.076912 | lrm: 0.88 | dt: 631ms | tok/sec: 831,336 | mfu: 20.1% | epoch: 1 | remaining: 131s    
step 00284 (56.3%) | loss: 4.071470 | lrm: 0.87 | dt: 626ms | tok/sec: 836,899 | mfu: 20.2% | epoch: 1 | remaining: 131s    
step 00285 (56.5%) | loss: 4.072248 | lrm: 0.87 | dt: 623ms | tok/sec: 841,663 | mfu: 20.3% | epoch: 1 | remaining: 130s    
step 00286 (56.7%) | loss: 4.066699 | lrm: 0.87 | dt: 626ms | tok/sec: 837,711 | mfu: 20.2% | epoch: 1 | remaining: 129s    
step 00287 (56.9%) | loss: 4.067502 | lrm: 0.86 | dt: 626ms | tok/sec: 838,166 | mfu: 20.3% | epoch: 1 | remaining: 129s    
step 00288 (57.1%) | loss: 4.064343 | lrm: 0.86 | dt: 625ms | tok/sec: 839,036 | mfu: 20.3% | epoch: 1 | remaining: 128s    
step 00289 (57.3%) | loss: 4.059821 | lrm: 0.85 | dt: 621ms | tok/sec: 844,584 | mfu: 20.4% | epoch: 1 | remaining: 127s    
step 00290 (57.5%) | loss: 4.058209 | lrm: 0.85 | dt: 625ms | tok/sec: 839,367 | mfu: 20.3% | epoch: 1 | remaining: 127s    
step 00291 (57.7%) | loss: 4.056896 | lrm: 0.85 | dt: 629ms | tok/sec: 833,907 | mfu: 20.1% | epoch: 1 | remaining: 126s    
step 00292 (57.9%) | loss: 4.056232 | lrm: 0.84 | dt: 625ms | tok/sec: 838,404 | mfu: 20.3% | epoch: 1 | remaining: 126s    
step 00293 (58.1%) | loss: 4.049033 | lrm: 0.84 | dt: 623ms | tok/sec: 840,921 | mfu: 20.3% | epoch: 1 | remaining: 125s    
step 00294 (58.3%) | loss: 4.043497 | lrm: 0.83 | dt: 625ms | tok/sec: 839,057 | mfu: 20.3% | epoch: 1 | remaining: 124s    
step 00295 (58.5%) | loss: 4.039068 | lrm: 0.83 | dt: 627ms | tok/sec: 835,696 | mfu: 20.2% | epoch: 1 | remaining: 124s    
step 00296 (58.8%) | loss: 4.041380 | lrm: 0.82 | dt: 623ms | tok/sec: 841,832 | mfu: 20.3% | epoch: 1 | remaining: 123s    
step 00297 (59.0%) | loss: 4.038238 | lrm: 0.82 | dt: 620ms | tok/sec: 846,242 | mfu: 20.4% | epoch: 1 | remaining: 122s    
step 00298 (59.2%) | loss: 4.032605 | lrm: 0.82 | dt: 626ms | tok/sec: 837,999 | mfu: 20.2% | epoch: 1 | remaining: 122s    
step 00299 (59.4%) | loss: 4.035655 | lrm: 0.81 | dt: 622ms | tok/sec: 843,044 | mfu: 20.4% | epoch: 1 | remaining: 121s    
step 00300 (59.6%) | loss: 4.032228 | lrm: 0.81 | dt: 627ms | tok/sec: 835,655 | mfu: 20.2% | epoch: 1 | remaining: 121s    
step 00301 (59.8%) | loss: 4.031169 | lrm: 0.80 | dt: 630ms | tok/sec: 832,854 | mfu: 20.1% | epoch: 1 | remaining: 120s    
step 00302 (60.0%) | loss: 4.041167 | lrm: 0.80 | dt: 626ms | tok/sec: 837,108 | mfu: 20.2% | epoch: 1 | remaining: 119s    
step 00303 (60.2%) | loss: 4.040696 | lrm: 0.80 | dt: 625ms | tok/sec: 838,196 | mfu: 20.3% | epoch: 1 | remaining: 119s    
step 00304 (60.4%) | loss: 4.039636 | lrm: 0.79 | dt: 623ms | tok/sec: 841,624 | mfu: 20.3% | epoch: 1 | remaining: 118s    
step 00305 (60.6%) | loss: 4.037626 | lrm: 0.79 | dt: 622ms | tok/sec: 842,772 | mfu: 20.4% | epoch: 1 | remaining: 117s    
step 00306 (60.8%) | loss: 4.030801 | lrm: 0.78 | dt: 624ms | tok/sec: 840,367 | mfu: 20.3% | epoch: 1 | remaining: 117s    
step 00307 (61.0%) | loss: 4.034785 | lrm: 0.78 | dt: 622ms | tok/sec: 843,189 | mfu: 20.4% | epoch: 1 | remaining: 116s    
step 00308 (61.3%) | loss: 4.030561 | lrm: 0.77 | dt: 627ms | tok/sec: 835,614 | mfu: 20.2% | epoch: 1 | remaining: 116s    
step 00309 (61.5%) | loss: 4.032485 | lrm: 0.77 | dt: 628ms | tok/sec: 835,027 | mfu: 20.2% | epoch: 1 | remaining: 115s    
step 00310 (61.7%) | loss: 4.026878 | lrm: 0.77 | dt: 624ms | tok/sec: 839,580 | mfu: 20.3% | epoch: 1 | remaining: 114s    
step 00311 (61.9%) | loss: 4.027192 | lrm: 0.76 | dt: 627ms | tok/sec: 835,601 | mfu: 20.2% | epoch: 1 | remaining: 114s    
step 00312 (62.1%) | loss: 4.024618 | lrm: 0.76 | dt: 626ms | tok/sec: 837,098 | mfu: 20.2% | epoch: 1 | remaining: 113s    
step 00313 (62.3%) | loss: 4.036588 | lrm: 0.75 | dt: 624ms | tok/sec: 840,749 | mfu: 20.3% | epoch: 1 | remaining: 112s    
step 00314 (62.5%) | loss: 4.033678 | lrm: 0.75 | dt: 626ms | tok/sec: 837,733 | mfu: 20.2% | epoch: 1 | remaining: 112s    
step 00315 (62.7%) | loss: 4.027326 | lrm: 0.75 | dt: 627ms | tok/sec: 836,100 | mfu: 20.2% | epoch: 1 | remaining: 111s    
